matchgrade,grade,competition,senior_comp
 14 D,Juniors,Juniors,FALSE
 14 E,Juniors,Juniors,FALSE
 14 E,Juniors,Juniors,FALSE
 14 F,Juniors,Juniors,FALSE
 14 G,Juniors,Juniors,FALSE
 14 H,Juniors,Juniors,FALSE
 15 A,Juniors,Juniors,FALSE
 15 A,Juniors,Juniors,FALSE
 15 B,Juniors,Juniors,FALSE
 15 B,Juniors,Juniors,FALSE
 15 C,Juniors,Juniors,FALSE
 15 C,Juniors,Juniors,FALSE
 15 D,Juniors,Juniors,FALSE
 15 D,Juniors,Juniors,FALSE
 15 E,Juniors,Juniors,FALSE
 15 E,Juniors,Juniors,FALSE
 15 F,Juniors,Juniors,FALSE
 15 H,Juniors,Juniors,FALSE
 15 g,Juniors,Juniors,FALSE
 16 A,Juniors,Juniors,FALSE
 16 A,Juniors,Juniors,FALSE
 16 B,Juniors,Juniors,FALSE
 16 B,Juniors,Juniors,FALSE
 16 C,Juniors,Juniors,FALSE
 16 C,Juniors,Juniors,FALSE
 16 D,Juniors,Juniors,FALSE
 16 D,Juniors,Juniors,FALSE
 16 E,Juniors,Juniors,FALSE
 17 A/B,Juniors,Juniors,FALSE
 17 A/B,Juniors,Juniors,FALSE
 17 B,Juniors,Juniors,FALSE
 17 B,Juniors,Juniors,FALSE
 17 C,Juniors,Juniors,FALSE
 17 C,Juniors,Juniors,FALSE
 18 A/B Int,Juniors,Juniors,FALSE
 18 A/B Int,Juniors,Juniors,FALSE
 18 B,Juniors,Juniors,FALSE
 18 B,Juniors,Juniors,FALSE
 18 C,Juniors,Juniors,FALSE
 18 D,Juniors,Juniors,FALSE
 A/A A,Juniors,Juniors,FALSE
 A/A A,Juniors,Juniors,FALSE
 A/A A (Fri,Juniors,Juniors,FALSE
 A/A A (Fri,Juniors,Juniors,FALSE
 A/A B,Juniors,Juniors,FALSE
 A/A B,Juniors,Juniors,FALSE
 A/A B Int,Juniors,Juniors,FALSE
 A/A B Int,Juniors,Juniors,FALSE
 A/A C,Juniors,Juniors,FALSE
 A/A C,Juniors,Juniors,FALSE
 A/A C (Fri,Juniors,Juniors,FALSE
 A/A C (Fri,Juniors,Juniors,FALSE
 A/A D,Juniors,Juniors,FALSE
 A/A D,Juniors,Juniors,FALSE
 A/A D (Fri,Juniors,Juniors,FALSE
 A/A E,Juniors,Juniors,FALSE
 A/A E,Juniors,Juniors,FALSE
 A/A E (Fri,Juniors,Juniors,FALSE
 A/A E (Fri,Juniors,Juniors,FALSE
 A/A F,Juniors,Juniors,FALSE
 A/A F,Juniors,Juniors,FALSE
 A/A F (Fri,Juniors,Juniors,FALSE
 A/A F (Fri,Juniors,Juniors,FALSE
 A/A Fri D ,Juniors,Juniors,FALSE
 A/A G,Juniors,Juniors,FALSE
 A/A G,Juniors,Juniors,FALSE
 A/A H,Juniors,Juniors,FALSE
 A/A H,Juniors,Juniors,FALSE
 A/A J,Juniors,Juniors,FALSE
 A/A J,Juniors,Juniors,FALSE
 A/A K,Juniors,Juniors,FALSE
 A/A K,Juniors,Juniors,FALSE
 A/A L,Juniors,Juniors,FALSE
 A/A M,Juniors,Juniors,FALSE
 A/A N,Juniors,Juniors,FALSE
 A/A O,Juniors,Juniors,FALSE
 AA Fri G,Juniors,Juniors,FALSE
 AA Fri G,Juniors,Juniors,FALSE
 AA Fri H,Juniors,Juniors,FALSE
 AA Fri H,Juniors,Juniors,FALSE
 AA Fri J,Juniors,Juniors,FALSE
 AA Fri J,Juniors,Juniors,FALSE
 AA Fri K,Juniors,Juniors,FALSE
 AA Fri K,Juniors,Juniors,FALSE
 AA Fri L,Juniors,Juniors,FALSE
 AA Fri L,Juniors,Juniors,FALSE
 AA Fri M,Juniors,Juniors,FALSE
 AA Fri N,Juniors,Juniors,FALSE
 AA W Fri,Juniors,Juniors,FALSE
 AAW Fri A,Juniors,Juniors,FALSE
 AAW Fri B,Juniors,Juniors,FALSE
 AAW Fri C,Juniors,Juniors,FALSE
 AAW Fri D,Juniors,Juniors,FALSE
 Australia ,Juniors,Juniors,FALSE
 Interdistrict 25 A,Juniors,Juniors,FALSE
 MF-MR-11A,Juniors,Juniors,FALSE
 MR-MR-10C,Juniors,Juniors,FALSE
 MR-MR-10D,Juniors,Juniors,FALSE
 O 35 Sat A,Juniors,Juniors,FALSE
 O 35 Sat A,Juniors,Juniors,FALSE
 O 35 Sat B,Juniors,Juniors,FALSE
 O 35 Sat B,Juniors,Juniors,FALSE
 O 35 Sat C,Juniors,Juniors,FALSE
 O 35 Sat C,Juniors,Juniors,FALSE
 O/35 Fri A,Juniors,Juniors,FALSE
 O/35 Fri A,Juniors,Juniors,FALSE
 O/35 Fri B,Juniors,Juniors,FALSE
 O/35 Fri B,Juniors,Juniors,FALSE
 O/35 Fri C,Juniors,Juniors,FALSE
 O/35 Fri C,Juniors,Juniors,FALSE
 O/35 Fri D,Juniors,Juniors,FALSE
 O/35 Fri D,Juniors,Juniors,FALSE
 O/35 Fri E,Juniors,Juniors,FALSE
 O/35 Fri E,Juniors,Juniors,FALSE
 O/35 Fri F,Juniors,Juniors,FALSE
 O/35 Fri F,Juniors,Juniors,FALSE
 O/35 Fri G,Juniors,Juniors,FALSE
 O/35 Fri G,Juniors,Juniors,FALSE
 O/35 Fri H,Juniors,Juniors,FALSE
 O/35 Fri H,Juniors,Juniors,FALSE
 O/35 Fri J,Juniors,Juniors,FALSE
 O/35 Fri J,Juniors,Juniors,FALSE
 O/35 Fri K,Juniors,Juniors,FALSE
 O/35 Fri K,Juniors,Juniors,FALSE
 O/35 Fri L,Juniors,Juniors,FALSE
 O/35 Sat D,Juniors,Juniors,FALSE
 O/35 Sat E,Juniors,Juniors,FALSE
 O/35 Sat F,Juniors,Juniors,FALSE
 SAP 10,Juniors,Juniors,FALSE
 SAP 11,Juniors,Juniors,FALSE
 SAP 11,Juniors,Juniors,FALSE
 SAP 12,Juniors,Juniors,FALSE
 SAP 12,Juniors,Juniors,FALSE
 SAP 9,Juniors,Juniors,FALSE
 SAP11,Juniors,Juniors,FALSE
 SAP12,Juniors,Juniors,FALSE
 Summer O35,Juniors,Juniors,FALSE
 W12 A,Juniors,Juniors,FALSE
 W12 A,Juniors,Juniors,FALSE
 W12 B,Juniors,Juniors,FALSE
 W12 B,Juniors,Juniors,FALSE
 W12 C,Juniors,Juniors,FALSE
 W12 C,Juniors,Juniors,FALSE
 W13 A,Juniors,Juniors,FALSE
 W13 A,Juniors,Juniors,FALSE
 W13 B,Juniors,Juniors,FALSE
 W13 B,Juniors,Juniors,FALSE
 W14 A,Juniors,Juniors,FALSE
 W14 A,Juniors,Juniors,FALSE
 W14 B,Juniors,Juniors,FALSE
 W14 B,Juniors,Juniors,FALSE
 W15 A,Juniors,Juniors,FALSE
 W15 A,Juniors,Juniors,FALSE
 W15 B,Juniors,Juniors,FALSE
 W16 A,Juniors,Juniors,FALSE
 W16 A,Juniors,Juniors,FALSE
 W16 B,Juniors,Juniors,FALSE
 W16 B,Juniors,Juniors,FALSE
 W16 C,Juniors,Juniors,FALSE
 W18 A,Juniors,Juniors,FALSE
 W18 A,Juniors,Juniors,FALSE
 WA/A  A,Juniors,Juniors,FALSE
 WA/A  A,Juniors,Juniors,FALSE
 WA/A B,Juniors,Juniors,FALSE
 WA/A B,Juniors,Juniors,FALSE
 WA/A C,Juniors,Juniors,FALSE
 WA/A C,Juniors,Juniors,FALSE
 WA/A D,Juniors,Juniors,FALSE
 WA/A D,Juniors,Juniors,FALSE
 WA/A E,Juniors,Juniors,FALSE
 WA/A E,Juniors,Juniors,FALSE
 WA/A F,Juniors,Juniors,FALSE
 WA/A F,Juniors,Juniors,FALSE
 WA/A G,Juniors,Juniors,FALSE
 WA/A G,Juniors,Juniors,FALSE
 WA/A H,Juniors,Juniors,FALSE
NPL - first grade line,First Grade,National Premier League,TRUE
NPL - reserve grade line,Reserve Grade,National Premier League,TRUE
NPL - youth grade centre,Youth Grade,National Premier League,TRUE
NPL - Youth grade line,Youth Grade,National Premier League,TRUE
NPL 13,Under 13,National Premier League,FALSE
NPL 14,Under 14,National Premier League,FALSE
NPL 15,Under 15,National Premier League,FALSE
NPL 16,Under 16,National Premier League,FALSE
NPL 18,Under 18,National Premier League,TRUE
NPL 19 4th,Youth Grade,National Premier League,TRUE
NPL 19 AR,Youth Grade,National Premier League,TRUE
NPL 19 Ref,Youth Grade,National Premier League,TRUE
NPL 1st,First Grade,National Premier League,TRUE
NPL 1st 4th,First Grade,National Premier League,TRUE
NPL 1st AR,First Grade,National Premier League,TRUE
NPL 1st Ref,First Grade,National Premier League,TRUE
NPL 22 4th,Reserve Grade,National Premier League,TRUE
NPL 22 AR,Reserve Grade,National Premier League,TRUE
NPL 22 Ref,Reserve Grade,National Premier League,TRUE
NPL- first grade centre,First Grade,National Premier League,TRUE
NPL Men's,First Grade,National Premier League,TRUE
NPL Res,Reserve Grade,National Premier League,TRUE
NPL reserve grade centre,Reserve Grade,National Premier League,TRUE
NPL Women',First Grade,National Premier League,TRUE
NPL13,Under 13,National Premier League,FALSE
NPL14,Under 14,National Premier League,FALSE
NPL15,Under 15,National Premier League,FALSE
NPL16,Under 16,National Premier League,FALSE
NPL17,Under 17,National Premier League,FALSE
NPL18,Youth Grade,National Premier League,TRUE
NPL19,Youth Grade,National Premier League,TRUE
NPL20,Reserve Grade,National Premier League,TRUE
NPL22,Reserve Grade,National Premier League,TRUE
U13 - NPL,Under 13,National Premier League,FALSE
U15 - NPL,Under 15,National Premier League,FALSE
U17 - NPL,Under 17,National Premier League,FALSE
NL1 13,Under 13,Northern League One,FALSE
NL1 14,Under 14,Northern League One,FALSE
NL1 15,Under 15,Northern League One,FALSE
NL1 16,Under 16,Northern League One,FALSE
NL1 18,Under 18,Northern League One,FALSE
NL1 1st,First Grade,Northern League One,TRUE
NL1 Res,Reserve Grade,Northern League One,TRUE
NL1 Youth,Youth Grade,Northern League One,TRUE
FNSWNPL13,NSW Under 13,NSW National Premier League,FALSE
FNSWNPL14,NSW Under 14,NSW National Premier League,FALSE
FNSWNPL15,NSW Under 15,NSW National Premier League,FALSE
FNSWNPL16,NSW Under 16,NSW National Premier League,FALSE
FNSWNPL18,NSW Under 18,NSW National Premier League,TRUE
FNSWNPL1st,NSW First Grade,NSW National Premier League,TRUE
FNSWNPL20,NSW Under 20,NSW National Premier League,TRUE
4th official 1st grade state,First Grade,State League,TRUE
4th official 1st grade state  G/Final,First Grade,State League,TRUE
4th official 1st grade state G/Final,First Grade,State League,TRUE
4th official 1st grade state s/final,First Grade,State League,TRUE
4th official reserve or youth,Reserve Grade,State League,TRUE
4th official reserve or youth G/Final,Reserve Grade,State League,TRUE
NBN First Grade Centre,First Grade,State League,TRUE
NBN First Grade Line,First Grade,State League,TRUE
NBN Reserve Grade Centre,Reserve Grade,State League,TRUE
NBN Reserve Line,Reserve Grade,State League,TRUE
NBN Youth Grade Centre,Youth Grade,State League,TRUE
NBN Youth Grade Line,Youth Grade,State League,TRUE
NSWWOMEN 1st AR,NSW First Grade,NSW Womens National Premier League,TRUE
NSWWOMEN 1st Ref,NSW First Grade,NSW Womens National Premier League,TRUE
NSWWPL13,Under 13,NSW Womens National Premier League,FALSE
NSWWPL15,Under 15,NSW Womens National Premier League,FALSE
NSWWPL17,Under 17,NSW Womens National Premier League,FALSE
NSWWPL1st,NSW First Grade,NSW Womens National Premier League,TRUE
NSWWPLRes,NSW Reserve Grade,NSW Womens National Premier League,TRUE
WNPL 14,Under 14,Womens National Premier League,FALSE
WNPL 15,Under 15,Womens National Premier League,FALSE
WNPL 17,Under 17,Womens National Premier League,FALSE
WNPL 1st,First Grade,Womens National Premier League,TRUE
WNPL Res,First Grade,Womens National Premier League,TRUE
U14 - New,Under 14,Womens Premier League,FALSE
U17 - Hera,Under 17,Womens Premier League,FALSE
U20 - Hera,Reserve Grade,Womens Premier League,TRUE
Womens Premier League Centre,First Grade,Womens Premier League,TRUE
Womens Premier League Line,First Grade,Womens Premier League,TRUE
Women's Premier League Line,First Grade,Womens Premier League,TRUE
WPL  4th,First Grade,Womens Premier League,TRUE
WPL  AR,First Grade,Womens Premier League,TRUE
WPL  Ref,First Grade,Womens Premier League,TRUE
WPL 14,Under 14,Womens Premier League,FALSE
WPL 16,Under 16,Womens Premier League,FALSE
WPL 17,Under 17,Womens Premier League,FALSE
WPL 18,Under 18,Womens Premier League,TRUE
WPL 18 AR,Under 18,Womens Premier League,TRUE
WPL 18 Ref,Under 18,Womens Premier League,TRUE
WPL 1st,First Grade,Womens Premier League,TRUE
WPL 1st 4th,First Grade,Womens Premier League,TRUE
WPL 1st AR,First Grade,Womens Premier League,TRUE
WPL 1st Ref,First Grade,Womens Premier League,TRUE
WPL Res,First Grade,Womens Premier League,TRUE
WPL-U/18 CENTRE,First Grade,Womens Premier League,TRUE
WPL-U/18 LINE,First Grade,Womens Premier League,TRUE
4th official interdistrict,First Grade,Zone League,TRUE
First Grade Centre ID1,First Grade,Zone League,TRUE
First Grade Centre ID1 G/Final,First Grade,Zone League,TRUE
First Grade Centre ID2,First Grade,Zone League,TRUE
First Grade Centre ID2     G/Final,First Grade,Zone League,TRUE
First Grade Centre ID3,First Grade,Zone League,TRUE
First Grade Centre ID3 G/Final,First Grade,Zone League,TRUE
First Grade Line ID1,First Grade,Zone League,TRUE
First Grade Line ID1 G/Final,First Grade,Zone League,TRUE
First Grade Line ID2,First Grade,Zone League,TRUE
First Grade Line ID2   G/Final,First Grade,Zone League,TRUE
First Grade Line ID3,First Grade,Zone League,TRUE
First Grade Line ID3  G/Final,First Grade,Zone League,TRUE
Reserve Gr,First Grade,Zone League,TRUE
Reserve Grade Centre,First Grade,Zone League,TRUE
Reserve Grade Centre G/Final,Reserve Grade,Zone League,TRUE
Reserve Grade Centre ID1,Reserve Grade,Zone League,TRUE
Reserve Grade Centre ID1 G/Final,Reserve Grade,Zone League,TRUE
Reserve Grade Centre ID2,Reserve Grade,Zone League,TRUE
Reserve Grade Centre ID2 G/Final,Reserve Grade,Zone League,TRUE
Reserve grade Line ID1,Reserve Grade,Zone League,TRUE
Reserve grade Line ID1 G/Final,Reserve Grade,Zone League,TRUE
Reserve Grade Line ID2,Reserve Grade,Zone League,TRUE
Reserve Grade Line ID2 G/Final,Reserve Grade,Zone League,TRUE
Reserve Grade Line ID3,Reserve Grade,Zone League,TRUE
Reserve Grade Line ID3 G/Final,Reserve Grade,Zone League,TRUE
Third Grade Centre ID1,Third Grade,Zone League,TRUE
Third Grade Centre ID1 G/Final,Third Grade,Zone League,TRUE
Third Grade Line ID1,Third Grade,Zone League,TRUE
Third Grade Line ID1 G/Final,Third Grade,Zone League,TRUE
ZFL,First Grade,Zone League,TRUE
ZFL1st,First Grade,Zone League,TRUE
ZL1 1st,First Grade,Zone League,TRUE
ZL1 1st 4th,First Grade,Zone League,TRUE
ZL1 1st AR,First Grade,Zone League,TRUE
ZL1 1st Ref,First Grade,Zone League,TRUE
ZL1 3rd,First Grade,Zone League,TRUE
ZL1 3rd 4th,First Grade,Zone League,TRUE
ZL1 3rd AR,First Grade,Zone League,TRUE
ZL1 3rd Ref,First Grade,Zone League,TRUE
ZL1 Res,First Grade,Zone League,TRUE
ZL1 Res AR,First Grade,Zone League,TRUE
ZL1 Res Ref,First Grade,Zone League,TRUE
ZL2 1st,First Grade,Zone League,TRUE
ZL2 1st AR,First Grade,Zone League,TRUE
ZL2 1st Ref,First Grade,Zone League,TRUE
ZL2 Res,First Grade,Zone League,TRUE
ZL2 Res 4th,First Grade,Zone League,TRUE
ZL2 Res AR,First Grade,Zone League,TRUE
ZL2 Res Ref,First Grade,Zone League,TRUE
ZL2/3 1st,First Grade,Zone League,TRUE
ZL2/3 Res,Reserve Grade,Zone League,TRUE
ZL3 1st,First Grade,Zone League,TRUE
ZL3 1st 4th,First Grade,Zone League,TRUE
ZL3 1st AR,First Grade,Zone League,TRUE
ZL3 1st Ref,First Grade,Zone League,TRUE
ZL3 Res,First Grade,Zone League,TRUE
ZL3 Res 4th,First Grade,Zone League,TRUE
ZL3 Res AR,First Grade,Zone League,TRUE
ZL3 Res Ref,First Grade,Zone League,TRUE
Zone Women,First Grade,Zone League,TRUE
Interdistrict 25 A,Third Grade,Zone Premier League,TRUE
premier 1st  grade line-g/final,First Grade,Zone Premier League,TRUE
premier 1st  grade line-s/final,First Grade,Zone Premier League,TRUE
premier 1st grade centre-g/final,First Grade,Zone Premier League,TRUE
premier 1st grade centre-s/final,First Grade,Zone Premier League,TRUE
PREMIER 1ST GRADE LINE,First Grade,Zone Premier League,TRUE
Premier first grade line,First Grade,Zone Premier League,TRUE
PREMIER IST GRADE CENTRE,First Grade,Zone Premier League,TRUE
premier res grade centre-g/final,Reserve Grade,Zone Premier League,TRUE
premier res grade centre-s/final,Reserve Grade,Zone Premier League,TRUE
premier res grade line-g/final,Reserve Grade,Zone Premier League,TRUE
premier res grade line-s-final,Reserve Grade,Zone Premier League,TRUE
PREMIER RESERVE GRADE CENTRE,Reserve Grade,Zone Premier League,TRUE
PREMIER RESERVE GRADE LINE,Reserve Grade,Zone Premier League,TRUE
PREMIER YOUTH GRADE CENTRE,Reserve Grade,Zone Premier League,TRUE
premier youth grade centre-g/final,Reserve Grade,Zone Premier League,TRUE
premier youth grade centre-s/final,Reserve Grade,Zone Premier League,TRUE
PREMIER YOUTH GRADE LINE,Reserve Grade,Zone Premier League,TRUE
premier youth grade line g/final,Reserve Grade,Zone Premier League,TRUE
premier youth grade line s/final,Reserve Grade,Zone Premier League,TRUE
ZFLP,First Grade,Zone Premier League,TRUE
ZFLP1st,First Grade,Zone Premier League,TRUE
ZPL 1st,First Grade,Zone Premier League,TRUE
ZPL 1st 4th,First Grade,Zone Premier League,TRUE
ZPL 1st AR,First Grade,Zone Premier League,TRUE
ZPL 1st Ref,First Grade,Zone Premier League,TRUE
ZPL 3rd,Third Grade,Zone Premier League,TRUE
ZPL 3rd 4th,Third Grade,Zone Premier League,TRUE
ZPL 3rd AR,Third Grade,Zone Premier League,TRUE
ZPL 3rd Ref,Third Grade,Zone Premier League,TRUE
ZPL Res,Reserve Grade,Zone Premier League,TRUE
ZPL Res AR,Reserve Grade,Zone Premier League,TRUE
ZPL Res Ref,Reserve Grade,Zone Premier League,TRUE
